Point Number,Easting (m),Northing (m),Orthometric height (m)
1,732110.220,5706844.900,1.583
2,732118.352,5706831.423,1.554
3,732125.235,5706819.382,1.577
4,732652.197,5706430.856,3.410
5,732642.000,5706439.631,3.590
6,732661.431,5706425.828,3.314
7,732023.828,5707282.099,1.647
8,732027.606,5707303.662,1.461
9,732190.804,5707908.897,1.964
10,732202.502,5707931.354,1.983
11,732428.063,5708291.804,1.722
12,732448.891,5708319.955,1.783
13,733007.803,5708897.017,1.713
14,732964.763,5708861.982,1.570
15,733429.659,5709194.709,2.663
16,733456.692,5709208.714,2.570
17,734512.287,5709667.176,2.093
18,734535.012,5709680.500,2.029
19,735539.143,5710081.777,1.396
20,735539.638,5710047.525,0.983
21,735524.835,5710040.544,0.715
