Flight,"Apollo Bay, VIC"
Start,28 Feb 2023 9:42 AM AEDT
End,28 Feb 2023 1:19 PM AEDT
Duration,3:37
""
Geographic coordinate reference system,GDA2020
Geographic EPSG code,7843
""
Projected coordinate reference system,GDA94 / MGA zone 54
Projected EPSG code,28354
""
Vertical coordinate reference system,AHD height
Vertical EPSG code,5711
Geoid model,ausgeoid09
""
Angular unit,decimal degrees
Distance unit,metres
""
Point number,Global ID,Aeropoint ID,Capture Start,Capture End,Latitude (GDA2020),Longitude (GDA2020),Ellipsoid height (GDA2020),Easting,Northing,Orthometric height,X variance (mm),Y variance (mm),Z variance (mm),Baseline distance (km)
1,ac845f7134,F81D6543,28 Feb 2023 9:42 AM AEDT,28 Feb 2023 10:02 AM AEDT,-38.75658539,143.67117821,1.596,732110.220,5706844.900,1.583,5.4,2.7,3.9,3.08
2,ac3a6c289f,829CB35E,28 Feb 2023 9:43 AM AEDT,28 Feb 2023 10:03 AM AEDT,-38.75670457,143.67127622,1.566,732118.352,5706831.423,1.554,10.7,5.3,10.0,3.07
3,ac164adaec,A841E988,28 Feb 2023 9:43 AM AEDT,28 Feb 2023 10:02 AM AEDT,-38.75681116,143.67135940,1.588,732125.235,5706819.382,1.577,4.4,2.0,6.9,3.07
4,ac974c2d3a,F81D6543,28 Feb 2023 10:12 AM AEDT,28 Feb 2023 10:31 AM AEDT,-38.76016990,143.67754843,3.396,732652.197,5706430.856,3.410,2.8,5.9,10.7,3.13
5,ac57f13b93,829CB35E,28 Feb 2023 10:12 AM AEDT,28 Feb 2023 10:31 AM AEDT,-38.76009360,143.67742824,3.576,732642.000,5706439.631,3.590,2.4,3.0,9.1,3.13
6,ac8ca62b4f,A841E988,28 Feb 2023 10:13 AM AEDT,28 Feb 2023 10:31 AM AEDT,-38.76021273,143.67765628,3.299,732661.431,5706425.828,3.314,4.3,4.9,10.2,3.13
7,ac16d90d8b,FE9D5E41,28 Feb 2023 10:16 AM AEDT,28 Feb 2023 10:35 AM AEDT,-38.75267247,143.67003826,1.686,732023.828,5707282.099,1.647,4.1,3.9,12.5,3.40
8,ac5bd68134,7E58C7D5,28 Feb 2023 10:16 AM AEDT,28 Feb 2023 10:35 AM AEDT,-38.75247737,143.67007446,1.501,732027.606,5707303.662,1.461,4.1,3.8,13.5,3.43
9,ac9aaa2274,7E58C7D5,28 Feb 2023 10:43 AM AEDT,28 Feb 2023 10:58 AM AEDT,-38.74698619,143.67174734,2.039,732190.804,5707908.897,1.964,5.2,3.6,22.7,4.04
10,ac2323dee3,FE9D5E41,28 Feb 2023 10:43 AM AEDT,28 Feb 2023 10:58 AM AEDT,-38.74678095,143.67187427,2.059,732202.502,5707931.354,1.983,3.9,2.9,10.9,4.06
11,ac272bcdab,7E58C7D5,28 Feb 2023 11:05 AM AEDT,28 Feb 2023 11:21 AM AEDT,-38.74347688,143.67434597,1.818,732428.063,5708291.804,1.722,3.4,0.6,1.4,4.48
12,acaf34e54d,FE9D5E41,28 Feb 2023 11:06 AM AEDT,28 Feb 2023 11:21 AM AEDT,-38.74321799,143.67457591,1.881,732448.891,5708319.955,1.783,5.9,3.9,4.3,4.52
13,ac9303018f,7E58C7D5,28 Feb 2023 11:30 AM AEDT,28 Feb 2023 11:47 AM AEDT,-38.73787608,143.68080589,1.841,733007.803,5708897.017,1.713,4.2,3.0,2.1,5.29
14,ace63af918,FE9D5E41,28 Feb 2023 11:31 AM AEDT,28 Feb 2023 11:46 AM AEDT,-38.73820281,143.68032301,1.696,732964.763,5708861.982,1.570,2.0,3.2,0.9,5.24
15,ac41955187,FE9D5E41,28 Feb 2023 11:56 AM AEDT,28 Feb 2023 12:15 PM AEDT,-38.73508494,143.68555405,2.807,733429.659,5709194.709,2.663,4.5,5.7,5.8,5.77
16,ac257a87d9,7E58C7D5,28 Feb 2023 11:57 AM AEDT,28 Feb 2023 12:14 PM AEDT,-38.73495172,143.68586002,2.714,733456.692,5709208.714,2.570,4.3,6.0,8.9,5.79
17,ac190d26fc,A841E988,28 Feb 2023 12:26 PM AEDT,28 Feb 2023 12:47 PM AEDT,-38.73054521,143.69783651,2.260,734512.287,5709667.176,2.093,1.3,3.6,5.3,6.78
18,acf7e5ec69,829CB35E,28 Feb 2023 12:26 PM AEDT,28 Feb 2023 12:47 PM AEDT,-38.73041923,143.69809316,2.197,734535.012,5709680.500,2.029,1.2,3.6,7.2,6.80
19,ac8553e6ad,F81D6543,28 Feb 2023 12:58 PM AEDT,28 Feb 2023 1:19 PM AEDT,-38.72653999,143.70949615,1.580,735539.143,5710081.777,1.396,5.3,3.2,6.0,7.76
20,acfe279c0b,829CB35E,28 Feb 2023 12:59 PM AEDT,28 Feb 2023 1:19 PM AEDT,-38.72684819,143.70951349,1.165,735539.638,5710047.525,0.983,7.6,5.0,6.5,7.73
21,aca42bbd52,A841E988,28 Feb 2023 12:59 PM AEDT,28 Feb 2023 1:18 PM AEDT,-38.72691497,143.70934576,0.897,735524.835,5710040.544,0.715,6.1,3.7,6.8,7.72
