Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0017_0001.JPG,-38.75468201,143.6705812,102.663,0.008,0.008,0.023
1,100_0017_0002.JPG,-38.75476781,143.6709524,102.191,0.009,0.009,0.023
1,100_0017_0003.JPG,-38.75484297,143.6712776,102.012,0.011,0.01,0.028
1,100_0017_0004.JPG,-38.75490064,143.6715114,101.818,0.009,0.008,0.022
1,100_0017_0005.JPG,-38.75515717,143.6716796,101.808,0.008,0.008,0.023
1,100_0017_0006.JPG,-38.75537235,143.6717573,102.706,0.009,0.009,0.023
1,100_0017_0007.JPG,-38.75526955,143.6714151,101.985,0.008,0.009,0.022
1,100_0017_0008.JPG,-38.75520354,143.671078,102.772,0.008,0.009,0.025
1,100_0017_0009.JPG,-38.75512775,143.6707542,102.707,0.011,0.01,0.028
1,100_0017_0010.JPG,-38.75505222,143.6704216,102.617,0.008,0.008,0.022
1,100_0017_0011.JPG,-38.75498472,143.6700853,103.469,0.009,0.008,0.024
1,100_0017_0012.JPG,-38.75498268,143.670036,103.859,0.008,0.008,0.021
1,100_0017_0013.JPG,-38.75526585,143.6701347,102.711,0.009,0.008,0.021
1,100_0017_0014.JPG,-38.75543686,143.6701787,103.104,0.009,0.009,0.023
1,100_0017_0015.JPG,-38.75551543,143.6705447,102.635,0.009,0.009,0.025
1,100_0017_0016.JPG,-38.75558894,143.6708746,102.083,0.008,0.007,0.021
1,100_0017_0017.JPG,-38.7556644,143.6712034,101.599,0.009,0.009,0.023
1,100_0017_0018.JPG,-38.75574134,143.6715331,101.752,0.01,0.009,0.027
1,100_0017_0019.JPG,-38.75581867,143.671862,101.853,0.009,0.009,0.022
1,100_0017_0020.JPG,-38.75586166,143.6720322,101.876,0.01,0.008,0.025
1,100_0017_0021.JPG,-38.75610833,143.6721807,102.027,0.01,0.008,0.024
1,100_0017_0022.JPG,-38.75629213,143.672448,102.273,0.01,0.009,0.027
1,100_0017_0023.JPG,-38.75640571,143.6725916,101.757,0.008,0.006,0.023
1,100_0017_0024.JPG,-38.75629949,143.6722482,101.916,0.011,0.011,0.029
