Flight,File name,Easting (m),Northing (m),Orthometric height (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0008_0001.JPG,732066.707,5707059.556,102.080,0.065,0.041,0.149
1,100_0008_0002.JPG,732098.134,5707048.073,101.722,0.054,0.036,0.133
1,100_0008_0003.JPG,732126.384,5707038.784,100.954,0.041,0.034,0.126
1,100_0008_0004.JPG,732146.393,5707031.548,100.753,0.069,0.061,0.225
1,100_0008_0005.JPG,732160.650,5707002.835,100.061,0.027,0.017,0.058
1,100_0008_0006.JPG,732166.230,5706978.671,100.673,0.018,0.014,0.042
1,100_0008_0007.JPG,732137.100,5706990.210,100.309,0.070,0.118,0.171
1,100_0008_0008.JPG,732107.600,5706998.018,100.670,0.067,0.041,0.140
1,100_0008_0009.JPG,732080.059,5707007.271,100.597,0.058,0.036,0.122
1,100_0008_0010.JPG,732051.181,5707015.581,101.194,0.036,0.030,0.089
1,100_0008_0011.JPG,732022.589,5707025.091,101.618,0.041,0.026,0.087
1,100_0008_0012.JPG,732018.136,5707025.664,102.133,0.036,0.023,0.078
1,100_0008_0013.JPG,732025.288,5706993.149,101.076,0.028,0.023,0.059
1,100_0008_0014.JPG,732029.136,5706975.373,101.484,0.019,0.013,0.050
1,100_0008_0015.JPG,732060.544,5706965.386,100.878,0.013,0.009,0.033
1,100_0008_0016.JPG,732088.662,5706956.250,100.838,0.072,0.045,0.152
1,100_0008_0017.JPG,732117.082,5706947.102,101.002,0.066,0.044,0.137
1,100_0008_0018.JPG,732145.485,5706937.869,101.048,0.058,0.035,0.121
1,100_0008_0019.JPG,732174.000,5706928.568,101.155,0.041,0.030,0.098
1,100_0008_0020.JPG,732188.187,5706923.475,101.145,0.056,0.027,0.093
1,100_0008_0021.JPG,732199.513,5706895.162,100.655,0.031,0.020,0.068
1,100_0008_0022.JPG,732222.892,5706873.805,100.548,0.023,0.015,0.052
1,100_0008_0023.JPG,732235.137,5706862.012,100.593,0.016,0.011,0.039
1,100_0008_0024.JPG,732205.477,5706873.337,99.870,0.078,0.061,0.163
1,100_0008_0025.JPG,732176.286,5706882.142,100.310,0.051,0.042,0.120
1,100_0008_0026.JPG,732147.695,5706890.969,100.947,0.024,0.015,0.057
1,100_0008_0027.JPG,732118.655,5706899.933,101.455,0.027,0.017,0.061
1,100_0008_0028.JPG,732089.478,5706908.960,101.755,0.029,0.019,0.062
1,100_0008_0029.JPG,732061.848,5706918.122,101.492,0.027,0.017,0.059
1,100_0008_0030.JPG,732038.877,5706924.634,101.706,0.023,0.016,0.051
1,100_0008_0031.JPG,732048.244,5706893.304,100.535,0.012,0.010,0.033
1,100_0008_0032.JPG,732053.046,5706873.297,101.100,0.011,0.009,0.030
1,100_0008_0033.JPG,732084.473,5706863.393,100.573,0.017,0.011,0.039
1,100_0008_0034.JPG,732112.871,5706854.346,100.637,0.017,0.013,0.042
1,100_0008_0035.JPG,732141.069,5706845.243,100.505,0.019,0.016,0.049
1,100_0008_0036.JPG,732169.368,5706836.140,100.515,0.029,0.018,0.061
1,100_0008_0037.JPG,732198.041,5706826.850,100.331,0.026,0.019,0.059
1,100_0008_0038.JPG,732226.189,5706817.739,100.140,0.030,0.040,0.066
1,100_0008_0039.JPG,732254.476,5706808.454,100.164,0.020,0.033,0.052
1,100_0008_0040.JPG,732283.049,5706799.119,100.154,0.016,0.024,0.042
1,100_0008_0041.JPG,732311.449,5706789.892,100.062,0.015,0.019,0.038
1,100_0008_0042.JPG,732339.985,5706780.590,100.029,0.013,0.013,0.034
1,100_0008_0043.JPG,732368.433,5706771.274,100.060,0.013,0.012,0.035
1,100_0008_0044.JPG,732396.089,5706762.277,100.113,0.018,0.012,0.037
1,100_0008_0045.JPG,732401.578,5706759.962,100.019,0.025,0.015,0.054
1,100_0008_0046.JPG,732403.043,5706727.841,99.934,0.023,0.019,0.058
1,100_0008_0047.JPG,732398.646,5706714.390,100.832,0.028,0.017,0.062
1,100_0008_0048.JPG,732370.111,5706726.852,100.112,0.015,0.013,0.044
1,100_0008_0049.JPG,732340.903,5706734.492,100.857,0.015,0.010,0.048
1,100_0008_0050.JPG,732313.112,5706743.916,100.602,0.014,0.011,0.035
1,100_0008_0051.JPG,732284.163,5706752.056,100.759,0.019,0.014,0.046
1,100_0008_0052.JPG,732255.848,5706761.556,100.992,0.022,0.037,0.062
1,100_0008_0053.JPG,732228.074,5706771.573,100.676,0.024,0.022,0.065
1,100_0008_0054.JPG,732198.145,5706780.553,100.860,0.021,0.017,0.052
1,100_0008_0055.JPG,732168.655,5706788.952,101.023,0.021,0.015,0.049
1,100_0008_0056.JPG,732140.088,5706798.448,101.080,0.019,0.012,0.043
1,100_0008_0057.JPG,732111.877,5706807.693,101.495,0.014,0.011,0.037
1,100_0008_0058.JPG,732084.473,5706817.144,101.704,0.013,0.010,0.034
1,100_0008_0059.JPG,732076.102,5706818.166,102.497,0.015,0.010,0.036
1,100_0008_0060.JPG,732090.889,5706788.771,101.068,0.023,0.014,0.050
1,100_0008_0061.JPG,732100.202,5706763.988,101.092,0.027,0.017,0.060
1,100_0008_0062.JPG,732131.370,5706753.847,100.342,0.022,0.017,0.056
1,100_0008_0063.JPG,732159.478,5706744.783,100.078,0.026,0.016,0.058
1,100_0008_0064.JPG,732187.992,5706735.554,100.161,0.023,0.014,0.050
1,100_0008_0065.JPG,732216.410,5706726.372,100.412,0.016,0.012,0.039
1,100_0008_0066.JPG,732244.732,5706717.200,100.252,0.010,0.009,0.025
1,100_0008_0067.JPG,732273.152,5706707.924,100.079,0.013,0.009,0.033
1,100_0008_0068.JPG,732301.271,5706698.884,100.014,0.017,0.022,0.044
1,100_0008_0069.JPG,732330.078,5706689.523,99.844,0.020,0.015,0.047
1,100_0008_0070.JPG,732358.340,5706680.309,99.830,0.025,0.016,0.056
1,100_0008_0071.JPG,732386.389,5706671.086,99.881,0.028,0.016,0.045
1,100_0008_0072.JPG,732396.376,5706667.385,99.895,0.029,0.017,0.062
1,100_0008_0073.JPG,732389.858,5706636.115,99.848,0.024,0.015,0.052
1,100_0008_0074.JPG,732380.830,5706625.706,100.589,0.019,0.017,0.045
1,100_0008_0075.JPG,732351.640,5706637.680,100.230,0.011,0.013,0.031
1,100_0008_0076.JPG,732323.364,5706647.369,100.191,0.018,0.012,0.042
1,100_0008_0077.JPG,732294.889,5706656.150,100.578,0.024,0.015,0.054
1,100_0008_0078.JPG,732265.059,5706664.751,100.448,0.026,0.042,0.068
1,100_0008_0079.JPG,732236.132,5706673.544,101.112,0.029,0.018,0.062
1,100_0008_0080.JPG,732211.907,5706680.477,101.607,0.025,0.016,0.055
1,100_0008_0081.JPG,732243.840,5706669.449,100.542,0.015,0.013,0.038
1,100_0008_0082.JPG,732271.610,5706659.738,100.499,0.014,0.017,0.038
1,100_0008_0083.JPG,732300.089,5706649.816,100.241,0.011,0.011,0.031
1,100_0008_0084.JPG,732328.139,5706640.081,100.140,0.017,0.012,0.041
1,100_0008_0085.JPG,732356.129,5706630.004,100.141,0.025,0.032,0.059
1,100_0008_0086.JPG,732366.684,5706627.042,100.410,0.025,0.038,0.064
1,100_0008_0087.JPG,732377.530,5706658.820,100.067,0.024,0.020,0.059
1,100_0008_0088.JPG,732386.858,5706686.828,99.925,0.021,0.019,0.054
1,100_0008_0089.JPG,732395.981,5706714.925,100.081,0.025,0.017,0.056
1,100_0008_0090.JPG,732399.391,5706726.343,100.263,0.016,0.014,0.043
1,100_0008_0091.JPG,732387.256,5706756.020,99.575,0.014,0.012,0.036
1,100_0008_0092.JPG,732373.735,5706782.241,100.192,0.011,0.010,0.030
1,100_0008_0093.JPG,732371.987,5706784.999,99.992,0.015,0.015,0.039
1,100_0008_0094.JPG,732364.676,5706754.299,99.691,0.020,0.023,0.052
1,100_0008_0095.JPG,732354.189,5706725.636,100.676,0.028,0.018,0.061
1,100_0008_0096.JPG,732344.275,5706697.359,101.291,0.029,0.022,0.065
1,100_0008_0097.JPG,732335.490,5706669.210,101.483,0.027,0.017,0.060
1,100_0008_0098.JPG,732326.375,5706640.469,101.633,0.020,0.014,0.049
1,100_0008_0099.JPG,732319.953,5706628.214,101.811,0.019,0.013,0.044
1,100_0008_0100.JPG,732290.946,5706638.405,99.931,0.013,0.017,0.036
1,100_0008_0101.JPG,732277.546,5706642.185,100.367,0.017,0.011,0.040
1,100_0008_0102.JPG,732288.360,5706673.063,99.722,0.019,0.015,0.050
1,100_0008_0103.JPG,732297.390,5706701.809,100.231,0.028,0.017,0.061
1,100_0008_0104.JPG,732306.595,5706730.184,100.550,0.020,0.017,0.053
1,100_0008_0105.JPG,732315.823,5706758.650,100.787,0.020,0.018,0.052
1,100_0008_0106.JPG,732324.806,5706786.721,100.748,0.022,0.022,0.051
1,100_0008_0107.JPG,732327.311,5706794.917,100.288,0.015,0.013,0.041
1,100_0008_0108.JPG,732297.872,5706801.352,99.590,0.017,0.013,0.037
1,100_0008_0109.JPG,732286.146,5706812.370,99.770,0.013,0.020,0.038
1,100_0008_0110.JPG,732278.056,5706781.044,99.594,0.025,0.016,0.051
1,100_0008_0111.JPG,732267.241,5706752.261,99.947,0.022,0.016,0.053
1,100_0008_0112.JPG,732257.660,5706723.962,100.615,0.029,0.017,0.063
1,100_0008_0113.JPG,732248.211,5706695.720,101.199,0.026,0.017,0.061
1,100_0008_0114.JPG,732239.050,5706668.575,101.683,0.025,0.015,0.056
1,100_0008_0115.JPG,732237.217,5706665.533,101.562,0.017,0.014,0.046
1,100_0008_0116.JPG,732211.653,5706682.753,99.745,0.011,0.010,0.031
1,100_0008_0117.JPG,732198.680,5706689.552,100.249,0.013,0.009,0.033
1,100_0008_0118.JPG,732208.937,5706720.439,99.575,0.018,0.011,0.042
1,100_0008_0119.JPG,732218.418,5706748.885,99.664,0.023,0.014,0.052
1,100_0008_0120.JPG,732227.776,5706777.334,99.543,0.020,0.016,0.052
1,100_0008_0121.JPG,732237.096,5706805.350,99.548,0.022,0.017,0.059
1,100_0008_0122.JPG,732246.231,5706833.934,99.892,0.029,0.019,0.063
1,100_0008_0123.JPG,732250.447,5706847.368,99.763,0.018,0.017,0.050
1,100_0008_0124.JPG,732230.143,5706871.447,99.166,0.017,0.011,0.041
1,100_0008_0125.JPG,732214.739,5706880.684,100.116,0.013,0.012,0.034
1,100_0008_0126.JPG,732207.762,5706849.736,99.832,0.014,0.014,0.039
1,100_0008_0127.JPG,732197.066,5706821.493,100.271,0.017,0.015,0.047
1,100_0008_0128.JPG,732188.443,5706792.715,100.578,0.022,0.017,0.058
1,100_0008_0129.JPG,732178.620,5706764.366,101.247,0.029,0.018,0.064
1,100_0008_0130.JPG,732168.489,5706735.965,101.468,0.019,0.020,0.052
1,100_0008_0131.JPG,732159.210,5706714.644,101.951,0.015,0.014,0.042
1,100_0008_0132.JPG,732137.045,5706736.887,100.312,0.010,0.010,0.030
1,100_0008_0133.JPG,732122.984,5706745.790,100.657,0.011,0.010,0.030
1,100_0008_0134.JPG,732132.983,5706776.776,100.070,0.020,0.012,0.046
1,100_0008_0135.JPG,732141.977,5706805.142,100.210,0.020,0.015,0.052
1,100_0008_0136.JPG,732151.227,5706833.373,100.238,0.020,0.018,0.054
1,100_0008_0137.JPG,732160.347,5706861.730,100.254,0.023,0.041,0.070
1,100_0008_0138.JPG,732169.864,5706889.952,100.431,0.021,0.039,0.066
1,100_0008_0139.JPG,732179.296,5706918.523,100.409,0.019,0.033,0.058
1,100_0008_0140.JPG,732183.987,5706933.635,100.267,0.014,0.013,0.040
1,100_0008_0141.JPG,732174.300,5706963.916,99.710,0.011,0.009,0.030
1,100_0008_0142.JPG,732162.221,5706991.196,100.128,0.011,0.009,0.031
1,100_0008_0143.JPG,732158.516,5706997.621,100.364,0.017,0.011,0.040
1,100_0008_0144.JPG,732152.085,5706966.459,99.950,0.020,0.015,0.052
1,100_0008_0145.JPG,732141.602,5706938.444,100.607,0.020,0.016,0.054
1,100_0008_0146.JPG,732130.143,5706909.769,101.402,0.020,0.016,0.054
1,100_0008_0147.JPG,732120.242,5706881.461,101.792,0.026,0.015,0.059
1,100_0008_0148.JPG,732110.807,5706853.140,101.580,0.016,0.013,0.044
1,100_0008_0149.JPG,732101.381,5706824.484,101.834,0.013,0.010,0.035
1,100_0008_0150.JPG,732092.489,5706796.555,101.864,0.014,0.009,0.033
1,100_0008_0151.JPG,732089.169,5706788.121,101.594,0.011,0.009,0.030
1,100_0008_0152.JPG,732077.662,5706818.438,100.472,0.014,0.012,0.040
1,100_0008_0153.JPG,732064.748,5706845.413,101.106,0.018,0.015,0.049
1,100_0008_0154.JPG,732062.784,5706851.070,101.092,0.046,0.018,0.064
1,100_0008_0155.JPG,732073.174,5706881.852,99.998,0.022,0.019,0.058
1,100_0008_0156.JPG,732082.324,5706910.321,99.856,0.029,0.020,0.065
1,100_0008_0157.JPG,732091.451,5706938.556,99.839,0.017,0.014,0.047
1,100_0008_0158.JPG,732100.600,5706967.136,100.236,0.014,0.012,0.040
1,100_0008_0159.JPG,732109.920,5706995.152,100.258,0.015,0.012,0.039
1,100_0008_0160.JPG,732119.170,5707023.350,100.080,0.012,0.016,0.036
1,100_0008_0161.JPG,732128.423,5707051.470,100.033,0.011,0.011,0.034
1,100_0008_0162.JPG,732131.231,5707060.813,99.755,0.014,0.012,0.041
1,100_0008_0163.JPG,732099.612,5707059.301,99.381,0.020,0.017,0.054
1,100_0008_0164.JPG,732082.969,5707057.978,100.217,0.029,0.019,0.066
1,100_0008_0165.JPG,732076.427,5707027.491,99.169,0.018,0.015,0.050
1,100_0008_0166.JPG,732065.410,5706999.097,99.949,0.020,0.013,0.048
1,100_0008_0167.JPG,732054.946,5706970.165,100.733,0.015,0.011,0.039
1,100_0008_0168.JPG,732045.566,5706942.062,101.012,0.013,0.012,0.035
1,100_0008_0169.JPG,732039.008,5706923.631,100.838,0.012,0.011,0.035
1,100_0008_0170.JPG,732033.993,5706955.609,99.390,0.020,0.032,0.061
1,100_0008_0171.JPG,732025.975,5706985.208,100.195,0.021,0.019,0.060
1,100_0008_0172.JPG,732020.434,5707012.117,100.900,0.022,0.017,0.061
1,100_0008_0173.JPG,732030.947,5707042.312,100.256,0.020,0.018,0.057
2,100_0009_0001.JPG,732174.584,5707530.647,101.191,0.018,0.014,0.055
2,100_0009_0002.JPG,732170.764,5707536.428,101.234,0.015,0.012,0.046
2,100_0009_0003.JPG,732140.189,5707543.319,100.694,0.011,0.014,0.039
2,100_0009_0004.JPG,732110.614,5707550.584,101.116,0.056,0.043,0.171
2,100_0009_0005.JPG,732105.845,5707551.230,101.260,0.051,0.035,0.148
2,100_0009_0006.JPG,732124.837,5707524.253,100.545,0.042,0.029,0.121
2,100_0009_0007.JPG,732142.106,5707499.788,101.162,0.035,0.026,0.104
2,100_0009_0008.JPG,732158.627,5707476.380,102.192,0.029,0.022,0.087
2,100_0009_0009.JPG,732159.836,5707474.045,102.267,0.025,0.023,0.080
2,100_0009_0010.JPG,732151.942,5707443.095,101.565,0.019,0.016,0.061
2,100_0009_0011.JPG,732144.822,5707419.302,101.842,0.012,0.013,0.041
