Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0008_0001.JPG,-38.75467776,143.67059983,102.193,0.065,0.041,0.149
1,100_0008_0002.JPG,-38.75477286,143.67096498,101.834,0.054,0.036,0.133
1,100_0008_0003.JPG,-38.75484905,143.67129287,101.065,0.041,0.034,0.126
1,100_0008_0004.JPG,-38.75490894,143.67152533,100.863,0.069,0.061,0.225
1,100_0008_0005.JPG,-38.75516366,143.67169888,100.170,0.027,0.017,0.058
1,100_0008_0006.JPG,-38.75537971,143.67177113,100.780,0.018,0.014,0.042
1,100_0008_0007.JPG,-38.75528350,143.67143238,100.418,0.070,0.118,0.171
1,100_0008_0008.JPG,-38.75522096,143.67109061,100.779,0.067,0.041,0.140
1,100_0008_0009.JPG,-38.75514491,143.67077088,100.707,0.058,0.036,0.122
1,100_0008_0010.JPG,-38.75507769,143.67043610,101.304,0.036,0.030,0.089
1,100_0008_0011.JPG,-38.75499960,143.67010420,101.729,0.041,0.026,0.087
1,100_0008_0012.JPG,-38.75499561,143.67005282,102.244,0.036,0.023,0.078
1,100_0008_0013.JPG,-38.75528643,143.67014596,101.185,0.028,0.023,0.059
1,100_0008_0014.JPG,-38.75544544,143.67019616,101.592,0.019,0.013,0.050
1,100_0008_0015.JPG,-38.75552709,143.67056059,100.986,0.013,0.009,0.033
1,100_0008_0016.JPG,-38.75560194,143.67088691,100.945,0.072,0.045,0.152
1,100_0008_0017.JPG,-38.75567681,143.67121671,101.108,0.066,0.044,0.137
1,100_0008_0018.JPG,-38.75575246,143.67154635,101.153,0.058,0.035,0.121
1,100_0008_0019.JPG,-38.75582869,143.67187729,101.259,0.041,0.030,0.098
1,100_0008_0020.JPG,-38.75587081,143.67204211,101.249,0.056,0.027,0.093
1,100_0008_0021.JPG,-38.75612270,143.67218182,100.758,0.031,0.020,0.068
1,100_0008_0022.JPG,-38.75630880,143.67245778,100.649,0.023,0.015,0.052
1,100_0008_0023.JPG,-38.75641174,143.67260251,100.693,0.016,0.011,0.039
1,100_0008_0024.JPG,-38.75631759,143.67225772,99.972,0.078,0.061,0.163
1,100_0008_0025.JPG,-38.75624601,143.67191917,100.411,0.051,0.042,0.120
1,100_0008_0026.JPG,-38.75617407,143.67158751,101.049,0.024,0.015,0.057
1,100_0008_0027.JPG,-38.75610101,143.67125064,101.558,0.027,0.017,0.061
1,100_0008_0028.JPG,-38.75602743,143.67091217,101.859,0.029,0.019,0.062
1,100_0008_0029.JPG,-38.75595221,143.67059145,101.596,0.027,0.017,0.059
1,100_0008_0030.JPG,-38.75589963,143.67032517,101.811,0.023,0.016,0.051
1,100_0008_0031.JPG,-38.75617920,143.67044338,100.638,0.012,0.010,0.033
1,100_0008_0032.JPG,-38.75635804,143.67050530,101.202,0.011,0.009,0.030
1,100_0008_0033.JPG,-38.75643893,143.67086992,100.674,0.017,0.011,0.039
1,100_0008_0034.JPG,-38.75651290,143.67119944,100.738,0.017,0.013,0.042
1,100_0008_0035.JPG,-38.75658744,143.67152669,100.605,0.019,0.016,0.049
1,100_0008_0036.JPG,-38.75666194,143.67185508,100.614,0.029,0.018,0.061
1,100_0008_0037.JPG,-38.75673803,143.67218784,100.429,0.026,0.019,0.059
1,100_0008_0038.JPG,-38.75681264,143.67251451,100.238,0.030,0.040,0.066
1,100_0008_0039.JPG,-38.75688877,143.67284283,100.261,0.020,0.033,0.052
1,100_0008_0040.JPG,-38.75696529,143.67317447,100.250,0.016,0.024,0.042
1,100_0008_0041.JPG,-38.75704088,143.67350407,100.158,0.015,0.019,0.038
