Flight,"Apollo Bay, VIC"
Start,05 Oct 2023 9:27 AM AEDT
End,05 Oct 2023 11:48 AM AEDT
Duration,2:21
""
Geographic coordinate reference system,GDA2020
Geographic EPSG code,7843
""
Projected coordinate reference system,GDA94 / MGA zone 54
Projected EPSG code,28354
""
Vertical coordinate reference system,AHD height
Vertical EPSG code,5711
Geoid model,ausgeoid09
""
Angular unit,decimal degrees
Distance unit,metres
""
Point number,Global ID,Aeropoint ID,Capture Start,Capture End,Latitude (GDA2020),Longitude (GDA2020),Ellipsoid height (GDA2020),Easting,Northing,Orthometric height,X variance (mm),Y variance (mm),Z variance (mm),Baseline distance (km)
1,ac77d817ab,7E58C7D5,05 Oct 2023 9:27 AM AEDT,05 Oct 2023 9:46 AM AEDT,-38.75604913,143.67081566,1.453,732080.450,5706905.342,1.436,5.0,6.3,22.9,3.11
2,ac0a69ab6f,FE9D5E41,05 Oct 2023 9:27 AM AEDT,05 Oct 2023 9:44 AM AEDT,-38.75641758,143.67105850,1.312,732100.361,5706863.830,1.298,2.0,2.9,17.2,3.09
3,ac951670ea,7E58C7D5,05 Oct 2023 9:53 AM AEDT,05 Oct 2023 10:08 AM AEDT,-38.75264475,143.66997283,1.755,732018.231,5707285.342,1.716,6.2,1.2,6.7,3.40
4,ac70564672,FE9D5E41,05 Oct 2023 9:54 AM AEDT,05 Oct 2023 10:07 AM AEDT,-38.75243293,143.67000027,1.643,732021.302,5707308.782,1.603,4.9,1.6,5.6,3.43
5,ac2ea1c895,7E58C7D5,05 Oct 2023 10:14 AM AEDT,05 Oct 2023 10:31 AM AEDT,-38.74702153,143.67171886,2.064,732188.213,5707905.046,1.990,0.8,2.5,13.7,4.03
6,ac69b36e51,FE9D5E41,05 Oct 2023 10:15 AM AEDT,05 Oct 2023 10:30 AM AEDT,-38.74655576,143.67204385,2.047,732217.971,5707955.918,1.970,0.6,2.2,11.4,4.09
7,acd6759dd4,7E58C7D5,05 Oct 2023 10:37 AM AEDT,05 Oct 2023 10:55 AM AEDT,-38.74330830,143.67443060,2.707,732435.967,5708310.300,2.610,11.3,7.8,27.8,4.50
8,ac6c026c3b,FE9D5E41,05 Oct 2023 10:38 AM AEDT,05 Oct 2023 10:54 AM AEDT,-38.74288911,143.67482234,2.341,732471.379,5708355.832,2.242,11.7,8.1,28.1,4.56
9,ac03185319,FE9D5E41,05 Oct 2023 11:01 AM AEDT,05 Oct 2023 11:23 AM AEDT,-38.73809433,143.68037494,2.071,732969.630,5708873.891,1.943,5.9,5.7,27.0,5.26
10,acd1ef73fe,7E58C7D5,05 Oct 2023 11:02 AM AEDT,05 Oct 2023 11:23 AM AEDT,-38.73797675,143.68053564,2.517,732983.983,5708886.532,2.389,13.2,4.5,13.3,5.27
11,ac2bc8f579,7E58C7D5,05 Oct 2023 11:32 AM AEDT,05 Oct 2023 11:48 AM AEDT,-38.73435149,143.68676920,3.078,733537.688,5709273.015,2.930,13.3,9.2,24.4,5.89
12,ac1438d970,FE9D5E41,05 Oct 2023 11:33 AM AEDT,05 Oct 2023 11:48 AM AEDT,-38.73431105,143.68700667,2.980,733558.464,5709276.897,2.832,32.0,11.5,12.0,5.91
