Flight,File name,Easting (m),Northing (m),Orthometric height (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0001_0001.JPG,732063.356,5707060.033,99.075,0.010,0.009,0.030
1,100_0001_0002.JPG,732093.382,5707047.139,98.453,0.037,0.033,0.103
1,100_0001_0003.JPG,732123.010,5707038.237,98.892,0.033,0.030,0.094
1,100_0001_0004.JPG,732143.158,5707031.166,99.870,0.029,0.026,0.083
1,100_0001_0005.JPG,732154.805,5707000.654,98.913,0.025,0.021,0.069
1,100_0001_0006.JPG,732163.098,5706978.166,99.745,0.019,0.017,0.055
1,100_0001_0007.JPG,732131.322,5706988.491,99.429,0.014,0.012,0.042
1,100_0001_0008.JPG,732103.164,5706997.685,99.625,0.011,0.010,0.033
1,100_0001_0009.JPG,732074.674,5707007.046,99.792,0.010,0.009,0.027
1,100_0001_0010.JPG,732046.073,5707016.385,100.057,0.041,0.036,0.122
1,100_0001_0011.JPG,732018.759,5707025.363,100.194,0.037,0.032,0.110
1,100_0001_0012.JPG,732015.064,5707025.945,100.074,0.034,0.030,0.103
1,100_0001_0013.JPG,732021.439,5706993.403,99.057,0.028,0.025,0.085
1,100_0001_0014.JPG,732025.679,5706975.762,99.500,0.024,0.021,0.074
1,100_0001_0015.JPG,732055.688,5706964.883,98.444,0.018,0.016,0.056
1,100_0001_0016.JPG,732085.093,5706956.249,98.789,0.015,0.013,0.046
1,100_0001_0017.JPG,732113.360,5706947.186,99.534,0.012,0.010,0.036
1,100_0001_0018.JPG,732141.782,5706937.951,99.851,0.010,0.009,0.029
1,100_0001_0019.JPG,732170.247,5706928.746,100.061,0.009,0.009,0.026
1,100_0001_0020.JPG,732185.318,5706923.609,100.105,0.010,0.009,0.031
1,100_0001_0021.JPG,732196.370,5706895.273,99.215,0.014,0.012,0.044
1,100_0001_0022.JPG,732219.410,5706873.839,98.771,0.017,0.014,0.052
1,100_0001_0023.JPG,732231.957,5706861.829,99.314,0.017,0.014,0.053
1,100_0001_0024.JPG,732200.318,5706872.132,99.299,0.015,0.013,0.047
1,100_0001_0025.JPG,732172.200,5706881.351,99.674,0.013,0.011,0.039
1,100_0001_0026.JPG,732143.813,5706890.585,99.980,0.010,0.008,0.030
1,100_0001_0027.JPG,732115.249,5706899.968,100.139,0.008,0.008,0.026
1,100_0001_0028.JPG,732086.795,5706909.328,100.175,0.010,0.010,0.031
1,100_0001_0029.JPG,732058.422,5706918.716,100.130,0.013,0.011,0.040
1,100_0001_0030.JPG,732036.263,5706925.417,99.849,0.016,0.013,0.050
1,100_0001_0031.JPG,732044.195,5706893.545,98.737,0.017,0.015,0.054
1,100_0001_0032.JPG,732049.761,5706874.274,99.143,0.016,0.014,0.050
1,100_0001_0033.JPG,732079.687,5706863.436,98.034,0.013,0.011,0.040
1,100_0001_0034.JPG,732108.934,5706854.764,98.398,0.010,0.009,0.031
1,100_0001_0035.JPG,732137.550,5706845.583,99.190,0.010,0.007,0.026
1,100_0001_0036.JPG,732165.603,5706836.362,99.511,0.009,0.009,0.027
1,100_0001_0037.JPG,732194.078,5706827.110,99.652,0.011,0.009,0.034
1,100_0001_0038.JPG,732222.654,5706817.802,99.820,0.013,0.012,0.041
1,100_0001_0039.JPG,732250.857,5706808.745,100.254,0.015,0.013,0.047
1,100_0001_0040.JPG,732279.215,5706799.619,100.641,0.016,0.014,0.049
1,100_0001_0041.JPG,732307.543,5706790.444,100.406,0.016,0.014,0.049
1,100_0001_0042.JPG,732336.388,5706781.067,100.498,0.015,0.013,0.045
1,100_0001_0043.JPG,732364.334,5706771.931,100.036,0.013,0.011,0.039
1,100_0001_0044.JPG,732392.702,5706762.804,100.068,0.010,0.009,0.031
1,100_0001_0045.JPG,732398.071,5706760.392,100.221,0.009,0.008,0.027
1,100_0001_0046.JPG,732396.460,5706727.869,99.579,0.010,0.009,0.028
1,100_0001_0047.JPG,732395.138,5706715.248,99.610,0.023,0.017,0.099
1,100_0001_0048.JPG,732364.064,5706725.037,99.321,0.014,0.013,0.044
1,100_0001_0049.JPG,732336.025,5706734.560,99.732,0.015,0.014,0.046
1,100_0001_0050.JPG,732307.628,5706743.665,100.002,0.016,0.014,0.047
1,100_0001_0051.JPG,732279.190,5706753.002,100.008,0.015,0.013,0.044
1,100_0001_0052.JPG,732250.735,5706762.279,99.909,0.013,0.011,0.039
1,100_0001_0053.JPG,732222.269,5706771.489,100.160,0.010,0.010,0.032
1,100_0001_0054.JPG,732193.846,5706780.706,99.918,0.009,0.009,0.026
1,100_0001_0055.JPG,732165.344,5706790.150,100.104,0.009,0.008,0.025
1,100_0001_0056.JPG,732136.939,5706799.452,99.934,0.010,0.009,0.029
1,100_0001_0057.JPG,732108.849,5706808.638,100.006,0.012,0.011,0.036
1,100_0001_0058.JPG,732080.671,5706817.975,100.108,0.014,0.012,0.041
1,100_0001_0059.JPG,732073.770,5706819.702,99.862,0.015,0.013,0.044
1,100_0001_0060.JPG,732086.392,5706788.843,98.662,0.015,0.013,0.044
1,100_0001_0061.JPG,732097.081,5706765.125,98.723,0.013,0.012,0.039
1,100_0001_0062.JPG,732127.412,5706754.922,98.017,0.011,0.010,0.031
1,100_0001_0063.JPG,732156.296,5706745.756,98.322,0.009,0.009,0.026
1,100_0001_0064.JPG,732184.894,5706736.379,98.680,0.009,0.007,0.025
1,100_0001_0065.JPG,732212.684,5706727.234,99.045,0.010,0.009,0.030
1,100_0001_0066.JPG,732241.140,5706717.916,99.308,0.012,0.011,0.036
1,100_0001_0067.JPG,732269.626,5706708.596,99.480,0.014,0.012,0.041
1,100_0001_0068.JPG,732298.273,5706699.272,99.716,0.015,0.013,0.044
1,100_0001_0069.JPG,732326.436,5706690.128,99.765,0.015,0.013,0.044
1,100_0001_0070.JPG,732354.741,5706680.854,99.810,0.014,0.013,0.042
1,100_0001_0071.JPG,732383.346,5706671.535,99.550,0.013,0.011,0.037
1,100_0001_0072.JPG,732393.469,5706667.804,99.414,0.011,0.009,0.032
1,100_0001_0073.JPG,732382.131,5706637.179,98.879,0.009,0.008,0.025
1,100_0001_0074.JPG,732377.454,5706626.784,99.390,0.009,0.007,0.027
1,100_0001_0075.JPG,732346.209,5706636.885,99.193,0.012,0.010,0.035
1,100_0001_0076.JPG,732317.933,5706646.143,99.329,0.014,0.012,0.041
1,100_0001_0077.JPG,732289.580,5706655.360,99.540,0.015,0.013,0.044
1,100_0001_0078.JPG,732261.011,5706664.773,99.951,0.015,0.014,0.045
1,100_0001_0079.JPG,732232.710,5706673.992,100.096,0.014,0.013,0.043
1,100_0001_0080.JPG,732209.911,5706681.311,99.800,0.012,0.010,0.035
1,100_0001_0081.JPG,732239.942,5706669.978,98.307,0.009,0.007,0.026
1,100_0001_0082.JPG,732269.042,5706660.511,98.464,0.008,0.007,0.025
1,100_0001_0083.JPG,732297.028,5706650.764,98.992,0.010,0.008,0.030
1,100_0001_0084.JPG,732325.499,5706640.818,99.394,0.012,0.011,0.036
1,100_0001_0085.JPG,732353.754,5706630.949,99.799,0.014,0.012,0.041
1,100_0001_0086.JPG,732364.356,5706627.711,100.231,0.015,0.013,0.044
1,100_0001_0087.JPG,732373.980,5706658.356,99.003,0.015,0.013,0.043
1,100_0001_0088.JPG,732383.940,5706687.132,99.680,0.014,0.012,0.040
1,100_0001_0089.JPG,732393.342,5706715.644,100.321,0.011,0.010,0.034
1,100_0001_0090.JPG,732396.639,5706727.150,100.500,0.010,0.009,0.029
1,100_0001_0091.JPG,732382.765,5706755.915,98.805,0.009,0.009,0.026
1,100_0001_0092.JPG,732370.999,5706782.822,99.228,0.010,0.009,0.028
1,100_0001_0093.JPG,732369.065,5706785.605,99.311,0.011,0.010,0.032
1,100_0001_0094.JPG,732358.464,5706754.219,99.169,0.014,0.012,0.041
1,100_0001_0095.JPG,732349.229,5706726.260,99.364,0.016,0.013,0.045
1,100_0001_0096.JPG,732339.905,5706698.179,99.221,0.015,0.014,0.044
1,100_0001_0097.JPG,732330.645,5706669.668,99.386,0.014,0.013,0.042
1,100_0001_0098.JPG,732321.350,5706641.376,99.412,0.013,0.011,0.038
1,100_0001_0099.JPG,732316.972,5706629.548,99.325,0.011,0.009,0.031
1,100_0001_0100.JPG,732285.438,5706638.983,99.346,0.010,0.008,0.025
1,100_0001_0101.JPG,732275.031,5706642.814,99.405,0.008,0.008,0.026
