Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0001_0001.JPG,-38.75467434,143.67056115,99.188,0.010,0.009,0.030
1,100_0001_0002.JPG,-38.75478252,143.67091066,98.565,0.037,0.033,0.103
1,100_0001_0003.JPG,-38.75485487,143.67125426,99.004,0.033,0.030,0.094
1,100_0001_0004.JPG,-38.75491323,143.67148826,99.980,0.029,0.026,0.083
1,100_0001_0005.JPG,-38.75518483,143.67163241,99.021,0.025,0.021,0.069
1,100_0001_0006.JPG,-38.75538508,143.67173530,99.852,0.019,0.017,0.055
1,100_0001_0007.JPG,-38.75530049,143.67136652,99.537,0.014,0.012,0.042
1,100_0001_0008.JPG,-38.75522513,143.67103972,99.734,0.011,0.010,0.033
1,100_0001_0009.JPG,-38.75514836,143.67070905,99.902,0.010,0.009,0.027
1,100_0001_0010.JPG,-38.75507180,143.67037711,100.167,0.041,0.036,0.122
1,100_0001_0011.JPG,-38.75499816,143.67006008,100.305,0.037,0.032,0.110
1,100_0001_0012.JPG,-38.75499389,143.67001741,100.186,0.034,0.030,0.103
1,100_0001_0013.JPG,-38.75528516,143.67010162,99.166,0.028,0.025,0.085
1,100_0001_0014.JPG,-38.75544285,143.67015629,99.609,0.024,0.021,0.074
1,100_0001_0015.JPG,-38.75553289,143.67050493,98.552,0.018,0.016,0.056
1,100_0001_0016.JPG,-38.75560288,143.67084588,98.895,0.015,0.013,0.046
1,100_0001_0017.JPG,-38.75567704,143.67117389,99.640,0.012,0.010,0.036
1,100_0001_0018.JPG,-38.75575269,143.67150374,99.957,0.010,0.009,0.029
1,100_0001_0019.JPG,-38.75582808,143.67183409,100.166,0.009,0.009,0.026
1,100_0001_0020.JPG,-38.75587036,143.67200908,100.209,0.010,0.009,0.031
1,100_0001_0021.JPG,-38.75612252,143.67214565,99.318,0.014,0.012,0.044
1,100_0001_0022.JPG,-38.75630941,143.67241773,98.872,0.017,0.014,0.052
1,100_0001_0023.JPG,-38.75641422,143.67256601,99.414,0.017,0.014,0.053
1,100_0001_0024.JPG,-38.75632980,143.67219881,99.400,0.015,0.013,0.047
1,100_0001_0025.JPG,-38.75625420,143.67187245,99.776,0.013,0.011,0.039
1,100_0001_0026.JPG,-38.75617855,143.67154300,100.082,0.010,0.008,0.030
1,100_0001_0027.JPG,-38.75610160,143.67121147,100.242,0.008,0.008,0.026
1,100_0001_0028.JPG,-38.75602482,143.67088121,100.279,0.010,0.010,0.031
1,100_0001_0029.JPG,-38.75594776,143.67055186,100.235,0.013,0.011,0.040
1,100_0001_0030.JPG,-38.75589326,143.67029486,99.955,0.016,0.013,0.050
1,100_0001_0031.JPG,-38.75617809,143.67039675,98.840,0.017,0.015,0.054
1,100_0001_0032.JPG,-38.75635011,143.67046721,99.245,0.016,0.014,0.050
1,100_0001_0033.JPG,-38.75643980,143.67081489,98.136,0.013,0.011,0.040
1,100_0001_0034.JPG,-38.75651017,143.67115405,98.499,0.010,0.009,0.031
1,100_0001_0035.JPG,-38.75658530,143.67148611,99.290,0.010,0.007,0.026
1,100_0001_0036.JPG,-38.75666093,143.67181173,99.610,0.009,0.009,0.027
1,100_0001_0037.JPG,-38.75673673,143.67214219,99.751,0.011,0.009,0.034
1,100_0001_0038.JPG,-38.75681300,143.67247385,99.918,0.013,0.012,0.041
1,100_0001_0039.JPG,-38.75688711,143.67280113,100.351,0.015,0.013,0.047
1,100_0001_0040.JPG,-38.75696180,143.67313022,100.737,0.016,0.014,0.049
1,100_0001_0041.JPG,-38.75703694,143.67345898,100.502,0.016,0.014,0.049
1,100_0001_0042.JPG,-38.75711376,143.67379375,100.593,0.015,0.013,0.045
