=+proj=longlat +ellps=GRS80 +no_defs +type=crs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,image, x (long), y (lat), z (alt), yaw, pitch, roll, h_accuracy, v_accuracy, label,,,,
Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),,,,,RMS Error Up (m),,,,RMS Error North (m),RMS Error East (m)
1,100_0001_0001.JPG,-38.75467434,143.6705612,99.188,,,,,0.03,,,,0.01,0.009
1,100_0001_0002.JPG,-38.75478252,143.6709107,98.565,,,,,0.103,,,,0.037,0.033
1,100_0001_0003.JPG,-38.75485487,143.6712543,99.004,,,,,0.094,,,,0.033,0.03
1,100_0001_0004.JPG,-38.75491323,143.6714883,99.98,,,,,0.083,,,,0.029,0.026
1,100_0001_0005.JPG,-38.75518483,143.6716324,99.021,,,,,0.069,,,,0.025,0.021
1,100_0001_0006.JPG,-38.75538508,143.6717353,99.852,,,,,0.055,,,,0.019,0.017
1,100_0001_0007.JPG,-38.75530049,143.6713665,99.537,,,,,0.042,,,,0.014,0.012
1,100_0001_0008.JPG,-38.75522513,143.6710397,99.734,,,,,0.033,,,,0.011,0.01
1,100_0001_0009.JPG,-38.75514836,143.6707091,99.902,,,,,0.027,,,,0.01,0.009
1,100_0001_0010.JPG,-38.7550718,143.6703771,100.167,,,,,0.122,,,,0.041,0.036
1,100_0001_0011.JPG,-38.75499816,143.6700601,100.305,,,,,0.11,,,,0.037,0.032
1,100_0001_0012.JPG,-38.75499389,143.6700174,100.186,,,,,0.103,,,,0.034,0.03
1,100_0001_0013.JPG,-38.75528516,143.6701016,99.166,,,,,0.085,,,,0.028,0.025
1,100_0001_0014.JPG,-38.75544285,143.6701563,99.609,,,,,0.074,,,,0.024,0.021
1,100_0001_0015.JPG,-38.75553289,143.6705049,98.552,,,,,0.056,,,,0.018,0.016
1,100_0001_0016.JPG,-38.75560288,143.6708459,98.895,,,,,0.046,,,,0.015,0.013
1,100_0001_0017.JPG,-38.75567704,143.6711739,99.64,,,,,0.036,,,,0.012,0.01
1,100_0001_0018.JPG,-38.75575269,143.6715037,99.957,,,,,0.029,,,,0.01,0.009
1,100_0001_0019.JPG,-38.75582808,143.6718341,100.166,,,,,0.026,,,,0.009,0.009
1,100_0001_0020.JPG,-38.75587036,143.6720091,100.209,,,,,0.031,,,,0.01,0.009
1,100_0001_0021.JPG,-38.75612252,143.6721457,99.318,,,,,0.044,,,,0.014,0.012
1,100_0001_0022.JPG,-38.75630941,143.6724177,98.872,,,,,0.052,,,,0.017,0.014
1,100_0001_0023.JPG,-38.75641422,143.672566,99.414,,,,,0.053,,,,0.017,0.014
1,100_0001_0024.JPG,-38.7563298,143.6721988,99.4,,,,,0.047,,,,0.015,0.013
1,100_0001_0025.JPG,-38.7562542,143.6718725,99.776,,,,,0.039,,,,0.013,0.011
1,100_0001_0026.JPG,-38.75617855,143.671543,100.082,,,,,0.03,,,,0.01,0.008
1,100_0001_0027.JPG,-38.7561016,143.6712115,100.242,,,,,0.026,,,,0.008,0.008
1,100_0001_0028.JPG,-38.75602482,143.6708812,100.279,,,,,0.031,,,,0.01,0.01
1,100_0001_0029.JPG,-38.75594776,143.6705519,100.235,,,,,0.04,,,,0.013,0.011
1,100_0001_0030.JPG,-38.75589326,143.6702949,99.955,,,,,0.05,,,,0.016,0.013
1,100_0001_0031.JPG,-38.75617809,143.6703968,98.84,,,,,0.054,,,,0.017,0.015
1,100_0001_0032.JPG,-38.75635011,143.6704672,99.245,,,,,0.05,,,,0.016,0.014
1,100_0001_0033.JPG,-38.7564398,143.6708149,98.136,,,,,0.04,,,,0.013,0.011
1,100_0001_0034.JPG,-38.75651017,143.6711541,98.499,,,,,0.031,,,,0.01,0.009
1,100_0001_0035.JPG,-38.7565853,143.6714861,99.29,,,,,0.026,,,,0.01,0.007
1,100_0001_0036.JPG,-38.75666093,143.6718117,99.61,,,,,0.027,,,,0.009,0.009
1,100_0001_0037.JPG,-38.75673673,143.6721422,99.751,,,,,0.034,,,,0.011,0.009
1,100_0001_0038.JPG,-38.756813,143.6724739,99.918,,,,,0.041,,,,0.013,0.012
1,100_0001_0039.JPG,-38.75688711,143.6728011,100.351,,,,,0.047,,,,0.015,0.013
1,100_0001_0040.JPG,-38.7569618,143.6731302,100.737,,,,,0.049,,,,0.016,0.014
1,100_0001_0041.JPG,-38.75703694,143.673459,100.502,,,,,0.049,,,,0.016,0.014
1,100_0001_0042.JPG,-38.75711376,143.6737938,100.593,,,,,0.045,,,,0.015,0.013
