Flight,"Apollo Bay, VIC"
Start,22 Jun 2023 7:54 AM AEST
End,22 Jun 2023 10:20 AM AEST
Duration,2:25
""
Geographic coordinate reference system,GDA2020
Geographic EPSG code,7843
""
Projected coordinate reference system,GDA94 / MGA zone 54
Projected EPSG code,28354
""
Vertical coordinate reference system,AHD height
Vertical EPSG code,5711
Geoid model,ausgeoid09
""
Angular unit,decimal degrees
Distance unit,metres
""
Point number,Global ID,Aeropoint ID,Capture Start,Capture End,Latitude (GDA2020),Longitude (GDA2020),Ellipsoid height (GDA2020),Easting,Northing,Orthometric height,X variance (mm),Y variance (mm),Z variance (mm),Baseline distance (km)
1,acbd2c7276,FE9D5E41,22 Jun 2023 7:54 AM AEST,22 Jun 2023 8:16 AM AEST,-38.75645286,143.67110747,1.255,732104.502,5706859.789,1.242,2.1,3.4,7.7,3.09
2,ac8dc20cad,7E58C7D5,22 Jun 2023 7:55 AM AEST,22 Jun 2023 8:16 AM AEST,-38.75663631,143.67124797,1.179,732116.118,5706839.071,1.167,1.4,2.4,6.0,3.08
3,ac6fbdb37f,7E58C7D5,22 Jun 2023 8:27 AM AEST,22 Jun 2023 8:42 AM AEST,-38.75233473,143.67005547,1.304,732026.417,5707319.542,1.264,3.0,3.3,12.1,3.44
4,accba9b87e,7E58C7D5,22 Jun 2023 8:51 AM AEST,22 Jun 2023 9:06 AM AEST,-38.74680405,143.67196517,1.538,732210.328,5707928.559,1.463,2.4,2.0,9.5,4.06
5,ac330c40f3,FE9D5E41,22 Jun 2023 8:52 AM AEST,22 Jun 2023 9:05 AM AEST,-38.74657641,143.67211384,1.605,732223.988,5707953.449,1.527,3.4,1.9,10.2,4.09
6,ac53062793,7E58C7D5,22 Jun 2023 9:14 AM AEST,22 Jun 2023 9:30 AM AEST,-38.74346262,143.67428231,2.443,732422.576,5708293.548,2.347,11.4,2.8,18.2,4.48
7,ac3b38e108,FE9D5E41,22 Jun 2023 9:15 AM AEST,22 Jun 2023 9:29 AM AEST,-38.74321514,143.67462982,1.905,732453.586,5708320.134,1.807,4.5,1.8,23.5,4.52
8,ac73300646,7E58C7D5,22 Jun 2023 9:38 AM AEST,22 Jun 2023 9:54 AM AEST,-38.73797548,143.68054316,2.959,732984.640,5708886.654,2.831,3.1,1.6,2.9,5.27
9,ac210098d5,FE9D5E41,22 Jun 2023 9:39 AM AEST,22 Jun 2023 9:53 AM AEST,-38.73780046,143.68085211,2.691,733012.067,5708905.292,2.562,4.0,2.1,16.3,5.30
10,ac860777e2,7E58C7D5,22 Jun 2023 10:04 AM AEST,22 Jun 2023 10:20 AM AEST,-38.73442954,143.68685255,2.657,733544.679,5709264.140,2.509,0.3,1.3,2.0,5.89
11,ac5e6fee38,FE9D5E41,22 Jun 2023 10:05 AM AEST,22 Jun 2023 10:20 AM AEST,-38.73451514,143.68665033,2.861,733526.821,5709255.155,2.714,0.4,1.2,2.0,5.87
